t	nsat	m	n	chi	lambda	k	timebudget
210	217197	280506	9061	1.0	210	2	5
210	218371	280506	9061	1.0	210	2	5
210	218775	280506	9061	1.0	210	2	5
210	217276	280506	9061	1.0	210	2	5
210	218237	280506	9061	1.0	210	2	5
210	217071	280506	9061	1.0	210	2	5
210	218233	280506	9061	1.0	210	2	5
210	218305	280506	9061	1.0	210	2	5
210	217770	280506	9061	1.0	210	2	5
210	219061	280506	9061	1.0	210	2	5
310	217777	280506	9061	1.0	310	2	5
310	217169	280506	9061	1.0	310	2	5
310	217592	280506	9061	1.0	310	2	5
310	217349	280506	9061	1.0	310	2	5
310	217930	280506	9061	1.0	310	2	5
310	217516	280506	9061	1.0	310	2	5
310	218549	280506	9061	1.0	310	2	5
310	217710	280506	9061	1.0	310	2	5
310	218359	280506	9061	1.0	310	2	5
310	218956	280506	9061	1.0	310	2	5
310	217741	280506	9061	1.0	310	2	5
310	217626	280506	9061	1.0	310	2	5
310	217918	280506	9061	1.0	310	2	5
310	219583	280506	9061	1.0	310	2	5
310	217262	280506	9061	1.0	310	2	5
310	217514	280506	9061	1.0	310	2	5
310	218146	280506	9061	1.0	310	2	5
310	218608	280506	9061	1.0	310	2	5
310	217411	280506	9061	1.0	310	2	5
310	217956	280506	9061	1.0	310	2	5
310	216777	280506	9061	1.0	310	2	5
310	218507	280506	9061	1.0	310	2	5
310	218130	280506	9061	1.0	310	2	5
310	216944	280506	9061	1.0	310	2	5
310	217879	280506	9061	1.0	310	2	5
310	217092	280506	9061	1.0	310	2	5
310	218175	280506	9061	1.0	310	2	5
310	217297	280506	9061	1.0	310	2	5
310	218821	280506	9061	1.0	310	2	5
310	218168	280506	9061	1.0	310	2	5
310	216935	280506	9061	1.0	310	2	5
310	218691	280506	9061	1.0	310	2	5
310	217917	280506	9061	1.0	310	2	5
310	217965	280506	9061	1.0	310	2	5
310	217726	280506	9061	1.0	310	2	5
310	218099	280506	9061	1.0	310	2	5
310	217276	280506	9061	1.0	310	2	5
310	217420	280506	9061	1.0	310	2	5
310	217064	280506	9061	1.0	310	2	5
310	217619	280506	9061	1.0	310	2	5
310	218712	280506	9061	1.0	310	2	5
310	218508	280506	9061	1.0	310	2	5
310	218489	280506	9061	1.0	310	2	5
310	217290	280506	9061	1.0	310	2	5
310	217247	280506	9061	1.0	310	2	5
310	217362	280506	9061	1.0	310	2	5
310	218156	280506	9061	1.0	310	2	5
310	218376	280506	9061	1.0	310	2	5
310	217960	280506	9061	1.0	310	2	5
310	218154	280506	9061	1.0	310	2	5
310	217497	280506	9061	1.0	310	2	5
310	218068	280506	9061	1.0	310	2	5
310	217039	280506	9061	1.0	310	2	5
310	217284	280506	9061	1.0	310	2	5
310	217650	280506	9061	1.0	310	2	5
310	217758	280506	9061	1.0	310	2	5
310	217212	280506	9061	1.0	310	2	5
310	216955	280506	9061	1.0	310	2	5
310	220164	280506	9061	1.0	310	2	5
310	218254	280506	9061	1.0	310	2	5
310	216598	280506	9061	1.0	310	2	5
310	216989	280506	9061	1.0	310	2	5
310	218266	280506	9061	1.0	310	2	5
310	216717	280506	9061	1.0	310	2	5
310	218158	280506	9061	1.0	310	2	5
310	217915	280506	9061	1.0	310	2	5
310	218446	280506	9061	1.0	310	2	5
310	217899	280506	9061	1.0	310	2	5
310	217951	280506	9061	1.0	310	2	5
310	216912	280506	9061	1.0	310	2	5
310	216876	280506	9061	1.0	310	2	5
310	218900	280506	9061	1.0	310	2	5
310	217901	280506	9061	1.0	310	2	5
310	217058	280506	9061	1.0	310	2	5
310	218766	280506	9061	1.0	310	2	5
310	217084	280506	9061	1.0	310	2	5
310	217474	280506	9061	1.0	310	2	5
310	217068	280506	9061	1.0	310	2	5
310	216861	280506	9061	1.0	310	2	5
310	217754	280506	9061	1.0	310	2	5
310	217806	280506	9061	1.0	310	2	5
310	218426	280506	9061	1.0	310	2	5
310	216640	280506	9061	1.0	310	2	5
310	218946	280506	9061	1.0	310	2	5
310	218819	280506	9061	1.0	310	2	5
310	217966	280506	9061	1.0	310	2	5
310	219024	280506	9061	1.0	310	2	5
310	218103	280506	9061	1.0	310	2	5
310	217985	280506	9061	1.0	310	2	5
310	217926	280506	9061	1.0	310	2	5
310	217749	280506	9061	1.0	310	2	5
310	217708	280506	9061	1.0	310	2	5
310	217450	280506	9061	1.0	310	2	5
310	218429	280506	9061	1.0	310	2	5
310	218125	280506	9061	1.0	310	2	5
310	216972	280506	9061	1.0	310	2	5
310	218474	280506	9061	1.0	310	2	5
310	219131	280506	9061	1.0	310	2	5
310	217988	280506	9061	1.0	310	2	5
310	217777	280506	9061	1.0	310	2	5
410	217947	280506	9061	1.0	410	2	5
410	217295	280506	9061	1.0	410	2	5
410	217531	280506	9061	1.0	410	2	5
410	218745	280506	9061	1.0	410	2	5
410	217724	280506	9061	1.0	410	2	5
410	217354	280506	9061	1.0	410	2	5
410	218553	280506	9061	1.0	410	2	5
410	217069	280506	9061	1.0	410	2	5
410	217865	280506	9061	1.0	410	2	5
410	217463	280506	9061	1.0	410	2	5
410	216972	280506	9061	1.0	410	2	5
410	217105	280506	9061	1.0	410	2	5
410	217264	280506	9061	1.0	410	2	5
410	218258	280506	9061	1.0	410	2	5
410	216942	280506	9061	1.0	410	2	5
410	217121	280506	9061	1.0	410	2	5
410	218109	280506	9061	1.0	410	2	5
410	217664	280506	9061	1.0	410	2	5
