n	chi	lambda	k	t	fbest
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	9	30
30	0.6	100	2	7	30
30	0.6	100	2	9	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	10	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	9	30
30	0.6	100	2	8	30
30	0.6	100	2	9	30
30	0.6	100	2	7	30
30	0.6	100	2	9	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	9	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	6	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	6	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	5	30
30	0.6	100	2	9	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	6	30
30	0.6	100	2	9	30
30	0.6	100	2	9	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	9	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
30	0.6	100	2	7	30
30	0.6	100	2	6	30
30	0.6	100	2	7	30
30	0.6	100	2	8	30
30	0.6	100	2	7	30
35	0.6	100	2	9	35
35	0.6	100	2	7	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	7	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	7	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	11	35
35	0.6	100	2	12	35
35	0.6	100	2	11	35
35	0.6	100	2	6	35
35	0.6	100	2	10	35
35	0.6	100	2	11	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	7	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
